datetime,000001.SZ,000002.SZ,000858.SZ,002415.SZ,002594.SZ,600000.SH,600036.SH,600519.SH,600887.SH,601318.SH,000858.SZ,002142.SZ,300059.SZ,300750.SZ,688981.SH
2020-01-01,5841128,8805964,5031906,5779809,6232453,3444973,8501862,5807802,2234837,5195381,5031906,8455010,9305217,2987229,4246340
2020-01-02,5588431,7623044,1864577,7933717,5605400,5825014,7817630,6656755,6556829,9572129,1864577,1185820,6658425,5162900,1492529
2020-01-03,2232617,2732826,4142934,2503838,7864713,6006437,5158086,5937597,6454150,3794922,4142934,8243975,1731777,1564779,7105582
2020-01-06,6848301,5656861,2548775,2695669,2872160,3236917,6635044,7571572,6741136,9276540,2548775,5347461,8834244,2958486,3331455
2020-01-07,7183314,6618421,7330336,2531064,7328023,9477070,6496151,9371969,2946487,9695568,7330336,3591042,3534127,9300732,4421328
2020-01-08,4658962,6627771,5071642,1831241,8636259,1333215,6965991,9911078,6488276,9575767,5071642,1744828,1068624,9624747,5370957
2020-01-09,2723268,9729102,5201458,9604212,8642548,6854015,7054122,8253570,7427003,5978004,5201458,3065276,9995585,4849285,5800337
2020-01-10,3529854,3646777,7507203,3615966,8692799,3994476,4466746,1838831,7719272,6305067,7507203,9706186,8252235,2721059,8592322
2020-01-13,4066082,5040700,5816077,3036086,6409833,2458634,8643456,6958147,1685448,9523004,5816077,6605980,4658740,4263676,1146914
2020-01-14,4913033,6372218,2313758,4611608,8566046,8623803,5695940,1100732,1411947,4225245,2313758,3521742,5065112,8170083,5317776
2020-01-15,4785040,8620646,3290723,7559236,1998603,9131931,2686435,3946496,1101427,2162836,3290723,7453873,6055703,2891387,3400488
2020-01-16,6214962,4595035,7873728,5423650,2734059,9672643,4323266,9919604,6274574,7377656,7873728,1826278,2658928,7144154,8941285
2020-01-17,8321236,2105357,9462178,2124563,9490169,4610405,8230621,6383463,5037599,4299437,9462178,8241253,3012747,6826660,3577280
2020-01-20,5564910,6608515,5219471,2320559,9068079,7439996,9218062,3304119,7213405,5145076,5219471,3923971,9130428,7265941,1130624
2020-01-21,5260251,2376693,7218579,4248216,9032955,1757072,7104023,6018628,2841625,8329452,7218579,7448690,8622758,6153594,5888440
2020-01-22,9869801,6815229,3058964,2937042,6890844,3347135,4460790,6973088,1417674,9063374,3058964,4638578,2742523,2331646,2931983
2020-01-23,9101024,7410590,9275443,9689590,2584497,8882653,8672671,7881700,7130069,3568286,9275443,2954819,5673713,3739465,8182150
2020-01-24,5810645,2442613,3007065,6492101,4613228,3145225,9031059,5036743,6435269,6195573,3007065,6229978,5250626,3512663,7480915
2020-01-27,6869912,8832750,5298924,9297990,3310387,9779001,6835397,4817349,7584534,9107634,5298924,5014479,9420866,3958581,3361722
2020-01-28,7235079,4516595,1972116,3852421,4953302,9124711,1362956,2670229,5385221,9692529,1972116,2358653,8547753,6967809,2528823
2020-01-29,5950363,6861030,1666871,4535384,8468535,9189343,5702948,5484195,6611485,2574520,1666871,5466706,2703312,4651478,1412218
2020-01-30,4951363,8728020,2131342,8239114,8876333,7265792,1414372,2986313,3643176,3241297,2131342,1024011,8002217,9176292,7132718
2020-01-31,1994283,2893775,2223305,4042750,6623099,8582152,7039165,4309410,2896165,5407899,2223305,9956115,2193997,9564857,6740048
2020-02-03,3794778,9305032,8268830,7950642,2871300,9711065,8233829,8952922,6296885,4617317,8268830,7162251,2425943,1018281,8468775
2020-02-04,8354907,2207956,3118626,9497739,8703480,3953477,3391366,6153222,4082398,4090863,3118626,5116511,4899849,3327408,1988674
